comment,original,translation
PBI#1,<Author>,<Autorius>
PBI#2,<Web>,<Žiniatinklis>
PBI#3,License Agreement,Licencijos sutartis
PBI#4,I Agree,Sutinku
PBI#5,"The installer can create desktop and launch menu icons for this package. If you do not wish these icons, uncheck the boxes below, and click ""Next"".","Diegimo programa gali sukurti darbalaukio ir meniu piktogramas šio paketo programoms. Jei šios piktogramos jums nereikalingos, panaikinkite žymėjimus žemiau ir spauskite ""Toliau""."
PBI#6,<Status>,<Būsena>
PBI#7,Registering Install...,Registruojamas diegimas...
PBI#8,Error!,Klaida!
PBI#9,Running pre-install script...,Vykdomas scenarijus prieš diegimą...
PBI#10,Installation Finished!,Diegimas baigtas!
PBI#11,Running install script...,Vykdomas įdiegimo scenarijus...
PBI#12,Warning!,Įspėjimas!
PBI#13,The program (,Programa (
PBI#14,OK,Gerai
PBI#15,Cancel,Atsisakyti
PBI#16,Extracting files...,Išpakuojami failai...
PBI#17,<progress>,<eiga>
PBI#18,Welcome Screen,Pasveikinimo langas
PBI#19,Preparing to install PROGNAME,Ruošiamasi PROGNAME įdiegimui
PBI#20,Desktop Links,Darbalaukio nuorodos
PBI#21,Install Software,Įdiegti programinę įrangą
PBI#22,Install Finished,Diegimas baigtas
PBI#23,Vendor:,Autorius:
PBI#24,URL:,Svetainė:
PBI#25,Start Menu Icons,Start meniu piktogramos
PBI#26,Desktop Icons,Darbalaukio piktogramos
PBI#27,Taskbar Icon,Užduočių juostos piktogramos
PBI#28,<h1>Program Name</h1>,<h1>Programos pavadinimas</h1>
PBI#29,"The installer must be run as root. Please try again, and enter your root password. ",Diegimo programa turi būti vykdoma administratoriaus teisėmis. Prašome pabandyti dar kartą ir įvesti root slaptažodį. 
PBI#30,Click Next to start the install of ,Norėdami pradėti 
PBI#31,.,"diegimą, spauskite ""Toliau""."
PBI#32,PC-BSD Software Installer,PC-BSD programinės įrangos diegimo programa
PBI#33,Cancel Confirmation,Atšaukti patvirtinimą
PBI#34,Are you sure you wish to cancel?,Ar tikrai norite atšaukti?
PBI#35,Yes,Taip
PBI#36,No,Ne
PBI#37,Install Directory,Diegimo katalogas
PBI#38,Please select where you wish this application to be installed. The suggested directory below is often the best location.,"Prašome nurodyti, kur įdiegti šią programą. Dažniausiai geriausia vieta diegimui yra žemiau pasiūlytas katalogas."
PBI#39,<b>Installation Directory</b>,<b>Diegimo katalogas</b>
PBI#40,XXMB,XXMB
PBI#41,Available Space,Laisvos vietos
PBI#42,Required Space,Reikalingos vietos
PBI#43,Remaining Space,Likusi vieta
PBI#44,The program is now being installed. This may take a few moments.,Diegiame programą. Tai gali užtrukti kelias akimirkas.
PBI#45,"<b><font size=""+1"">Installation complete! </font></b><br><br>Click ""Finish"" to exit.","<b><font size=""+1"">Diegimas baigtas! </font></b><br><br>Spauskite ""Baigti"", kad išeiti."
PBI#46,"Start application when I click ""Finish""","Paleisti programą paspaudus ""Baigti"""
PBI#47,) exists. Replace it?,) egzistuoja. Perrašyti?
PBI#48,&Yes,&Taip
PBI#49,&No,&Ne
PBI#50,Error: Not enough disk space on selected partition!,Klaida: nepakanka laisvos vietos pasirinktame disko skirsnyje!
PBI#51,ERROR:,KLAIDA:
PBI#52,Error determining remaining disk space!,Klaida nustatant likusią vietą diske!
PBI#53,Select install directory,Pasirinkite katalogą diegimui
PBI#54,Directory Error,Katalogo klaida
PBI#55,Error: This directory cannot be used for program installation. Please select another directory.,Klaida: Negalima diegti programos į šį katalogą. Prašome pasirinkti kitą katalogą.
PBI#56,Error: The selected directory is not writable. Please select another directory.,Klaida: Negalima rašyti į nurodytą katalogą. Prašome pasirinkti kitą katalogą.
PBI#57,Error running internal checksum Script! ,Klaida vykdant vidinį kontrolinės sumos scenarijų! 
PBI#58,Data integrity check failed!,Duomenų vientisumo patikrinimas nesėkmingas!
PBI#59,ERROR: The internal data integrity check failed! The file is corrupt! ,KLAIDA: Vidinio duomenų vientisumo patikrinimas nepavyko! Failas sugadintas!
PBI#60,Finishing data integrity check...,Baigiamas duomenų vientisumo patikrinimas...
PBI#61,Registering file associations...,Registruojami failų susiejimai...
