comment,original,translation
AddUserUI#1,Add User,Sukurti naudotoją
AddUserUI#2,The field is empty,Laukas yra tuščias
AddUserUI#3,Home Directory:,Pradžios katalogas:
AddUserUI#4,Shell:,Apvalkalas:
AddUserUI#5,Full Name:,Vardas ir pavardė:
AddUserUI#6,New &Group,Nauja &grupė
AddUserUI#7,Alt+G,Alt+G
AddUserUI#8,Username:,Naudotojas:
AddUserUI#9,Confirm Password:,Patvirtinti slaptažodį
AddUserUI#10,Primary Group:,Pagrindinė grupė:
AddUserUI#11,Password:,Slaptažodis:
AddUserUI#12,&Ok,&Gerai
AddUserUI#13,Alt+O,Alt+G
AddUserUI#14,&Cancel,A&tsisakyti
AddUserUI#15,Alt+C,Alt+T
ChangePassDialog#1,Change Password,Pakeisti slaptažodį
ChangePassDialog#2,Password:,Slaptažodis:
ChangePassDialog#3,Confirm Password:,Pakartoti slaptažodį:
ChangePassDialog#4,O&k,G&erai
ChangePassDialog#5,Alt+K,Alt+E
ChangePassDialog#6,&Cancel,A&tsisakyti
ChangePassDialog#7,Alt+C,Alt+T
MainDlg#1,PC-BSD User Manager,PC-BSD naudotojų tvarkytuvė
MainDlg#2,&Users,&Naudotojai
MainDlg#3,&Add,&Sukurti
MainDlg#4,Alt+A,Alt+S
MainDlg#5,&Remove,&Pašalinti
MainDlg#6,Alt+R,Alt+P
MainDlg#7,Home Directory:,Pradžios katalogas:
MainDlg#8,Primary Group:,Pagrindinė grupė:
MainDlg#9,Shell:,Apvalkalas:
MainDlg#10,User ID:,Naudotojo ID:
MainDlg#11,Full Name:,Vardas ir pavardė:
MainDlg#12,Chan&ge Password...,Pakeis&ti slaptažodį...
MainDlg#13,Alt+G,Alt+T
MainDlg#14,&Groups,&Grupės
MainDlg#15,A&dd,S&ukurti
MainDlg#16,Alt+D,Alt+U
MainDlg#17,Available:  ,Esančios:  
MainDlg#18,Members:,Nariai:
MainDlg#19,PC-BSD User Manager - Advanced Mode,PC-BSD naudotojų tvarkytuvė - Sudėtingesnis režimas
MainDlg#20,Simple &View,Nesudėtingas &rodinys
MainDlg#21,Alt+V,Alt+R
NotRoot#1,Root Access Required,Reikalingos administratoriaus teisės
